"TCGplayer Id","Product Line","Set Name","Product Name",Title,Number,Rarity,Condition,"TCG Market Price","TCG Direct Low","TCG Low Price With Shipping","TCG Low Price","Add to Quantity","Total Quantity","TCG Marketplace Price","My Store Reserve Quantity","My Store Price","Photo URL"
579743,YuGiOh,"Labyrinth of Nightmare","Aqua Spirit",,,,"Moderately Played",0.24,0,0,0.05,1,,0.24,0,0.05,
581017,YuGiOh,"Pharaonic Guardian","Arsenal Bug",,,,"Moderately Played",0.05,0,0,0.08,2,,0.05,0,0.08,
583832,YuGiOh,"Exclusive Pack","Andro Sphinx",,,,"Moderately Played",0.21,0,0,0.08,1,,0.21,0,0.08,
581923,YuGiOh,"Starter Deck: Joey","Baby Dragon",,,,"Moderately Played",0.09,0,0,0.05,1,,0.09,0,0.05,
579604,YuGiOh,"Invasion of Chaos",Bowganian,,,,"Moderately Played",0.14,0,0,0.1,1,,0.14,0,0.1,
581020,YuGiOh,"Pharaonic Guardian",Birdface,,,,"Moderately Played",0.2,0,0,0.15,1,,0.2,0,0.15,
580917,YuGiOh,"Pharaoh's Servant","Bubonic Vermin",,,,"Moderately Played",0.11,0,0,0.01,1,,0.11,0,0.01,
582197,YuGiOh,"Starter Deck: Yugi","Baron of the Fiend Sword",,,,"Moderately Played",0.23,0,0,0.15,1,,0.23,0,0.15,
582166,YuGiOh,"Starter Deck: Yugi","Beaver Warrior",,,,"Moderately Played",0.1,0,0,0.09,1,,0.1,0,0.09,
579853,YuGiOh,"Legacy of Darkness","Bad Reaction to Simochi",,,,"Moderately Played",0.34,0,0,0.1,1,,0.34,0,0.1,
582213,YuGiOh,"Starter Deck: Yugi Evolution","Black Luster Ritual",,,,"Moderately Played",0.24,0,0,0.15,1,,0.24,0,0.15,
581938,YuGiOh,"Starter Deck: Joey","Big Eye",,,,"Moderately Played",0.09,0,0,0.08,1,,0.09,0,0.08,
581029,YuGiOh,"Pharaonic Guardian","Charm of Shabti",,,,"Moderately Played",0.12,0,0,0.08,2,,0.12,0,0.08,
582241,YuGiOh,"Starter Deck: Yugi Evolution","Change of Heart",,,,"Moderately Played",0.18,0,0,0.11,1,,0.18,0,0.11,
581027,YuGiOh,"Pharaonic Guardian","Call of the Mummy",,,,"Moderately Played",0.11,0,0,0.05,1,,0.11,0,0.05,
581950,YuGiOh,"Starter Deck: Joey","Change of Heart",,,,"Moderately Played",0.16,0,0,0.16,1,,0.16,0,0.16,
579752,YuGiOh,"Labyrinth of Nightmare","Crimson Sentry",,,,"Moderately Played",0.08,0,0,0.01,1,,0.08,0,0.01,
581031,YuGiOh,"Pharaonic Guardian","Cobraman Sakuzy",,,,"Moderately Played",0.38,0,0,0.19,1,,0.38,0,0.19,
579580,YuGiOh,"Invasion of Chaos","Des Kangaroo",,,,"Moderately Played",0.06,0,0,0.03,1,,0.06,0,0.03,
581041,YuGiOh,"Pharaonic Guardian","Dark Scorpion Burglars",,,,"Moderately Played",0.25,0,0,0.2,1,,0.25,0,0.2,
581043,YuGiOh,"Pharaonic Guardian","Des Lacooda",,,,"Moderately Played",0.2,0,0,0.1,2,,0.2,0,0.1,
580528,YuGiOh,"Magician's Force","Dark Cat with White Tail",,,,"Moderately Played",0.14,0,0,0.08,1,,0.14,0,0.08,
580532,YuGiOh,"Magician's Force","Decayed Commander",,,,"Moderately Played",0.2,0,0,0.08,1,,0.2,0,0.08,
580931,YuGiOh,"Pharaoh's Servant",Dokuroyaiba,,,,"Moderately Played",0,0,0,0.01,1,,0,0,0.01,
583372,YuGiOh,"Legend of Blue Eyes White Dragon",Dissolverock,,,,"Moderately Played",0.09,0,0,0.05,1,,0.09,0,0.05,
577399,YuGiOh,"Starter Deck: Yugi Evolution","Dark Blade",,,,"Moderately Played",0.11,0,0,0.1,50,,0.11,0,0.1,
582183,YuGiOh,"Starter Deck: Yugi","Dark Hole",,,,"Moderately Played",0.19,0,0,0.13,1,,0.19,0,0.13,
581946,YuGiOh,"Starter Deck: Joey","Dark Hole",,,,"Moderately Played",0.13,0,0,0.1,1,,0.13,0,0.1,
581037,YuGiOh,"Pharaonic Guardian","Dark Designator",,,,"Moderately Played",0.21,0,0,0.16,1,,0.21,0,0.16,
579756,YuGiOh,"Labyrinth of Nightmare","Dancing Fairy",,,,"Moderately Played",0.15,0,0,0.06,1,,0.15,0,0.06,
579764,YuGiOh,"Labyrinth of Nightmare",Dreamsprite,,,,"Moderately Played",0.15,0,0,0.07,1,,0.15,0,0.07,
579866,YuGiOh,"Legacy of Darkness","Dragon Manipulator",,,,"Moderately Played",0.1,0,0,0.04,1,,0.1,0,0.04,
