Reimbursement Invoices MUST be shipped in the order listed on the RI Packing Slip
Card Name,Set Name,Rarity,Number,Color,Condition,Quantity
"Ichorclaw Myr","Scars of Mirrodin","C","166","Colorless","Lightly Played","2"
"Infiltration Lens","Scars of Mirrodin","U","167","Colorless","Lightly Played","3"
"Myr Galvanizer","Scars of Mirrodin","U","181","Colorless","Lightly Played","1"
"Tainted Strike","Scars of Mirrodin","C","80","Black","Lightly Played","1"
"Pulse Tracker","Worldwake","C","62","Black","Lightly Played","1"
"Quest for Renewal","Worldwake","U","110","Green","Lightly Played","1"
"Basal Sliver","Time Spiral","C","96","Black","Lightly Played","1"
"Hand of Honor","Saviors of Kamigawa","U","12","White","Lightly Played","1"
"Nikko-Onna","Saviors of Kamigawa","U","21","White","Lightly Played","1"
"Call to Glory","Champions of Kamigawa","C","4","White","Lightly Played","1"
"Plains (333)","Odyssey","L","333","Colorless","Lightly Played","1"
"Crop Rotation","Urza's Legacy","C","98","Green","Lightly Played","1"
"Twiddle","Fourth Edition","C","","Blue","Lightly Played","1"
"Hollow Trees","Fallen Empires","R","","","Lightly Played","1"
"Dakkon Blackblade","Chronicles","R","","Black;Blue;White","Lightly Played","1"
"Patriar's Seal","Commander Legends: Battle for Baldur's Gate","U","332","Colorless","Lightly Played","1"
"Dark Intimations","Aether Revolt","R","128","Black;Blue;Red","Moderately Played","1"
"Ghalta, Stampede Tyrant (Borderless)","The Lost Caverns of Ixalan","M","326","Green","Near Mint Foil","1"
"Malcolm, Alluring Scoundrel","The Lost Caverns of Ixalan","R","63","Blue","Near Mint Foil","1"
"Sleep-Cursed Faerie (Extended Art)","Wilds of Eldraine","R","334","Blue","Near Mint Foil","1"
"Ayara, First of Locthwain","March of the Machine: Multiverse Legends","R","13","Black","Near Mint Foil","1"
"Cloud Key (Schematic)","The Brothers' War: Retro Frame Artifacts","R","75","Colorless","Near Mint Foil","1"
"Containment Construct","Kamigawa: Neon Dynasty","U","243","Colorless","Near Mint Foil","1"
"Owlbear","Adventures in the Forgotten Realms","C","198","Green","Near Mint Foil","1"
"Elder Brain","Commander Legends: Battle for Baldur's Gate","R","125","Black","Near Mint Foil","1"
"Lae'zel, Vlaakith's Champion (Showcase)","Commander Legends: Battle for Baldur's Gate","R","378","White","Near Mint Foil","1"
"Sapphire Dragon","Commander Legends: Battle for Baldur's Gate","U","94","Blue","Near Mint Foil","1"
"Nelly Borca, Impulsive Accuser (Extended Art)","Commander: Murders at Karlov Manor","M","318","Red;White","Near Mint Foil","1"
"Vedalken Orrery (Foil Etched)","Double Masters 2022","R","568","Colorless","Near Mint Foil","1"
"Bloodflow Connoisseur","Ultimate Masters","C","86","Black","Near Mint Foil","1"
"Boros Signet","Ravnica Remastered","U","251","Colorless","Near Mint Foil","1"
"Dimir Signet","Ravnica Remastered","U","256","Colorless","Near Mint Foil","1"
"Plains (403) (Retro Frame)","Dominaria Remastered","L","403","Colorless","Near Mint Foil","1"
"Bilbo, Retired Burglar (Borderless)","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","U","403","Blue;Red","Near Mint Foil","1"
"One Ring to Rule Them All","Universes Beyond: The Lord of the Rings: Tales of Middle-earth","R","102","Black","Near Mint Foil","1"
